Type,Latitude,Longitude,Composite Risk,Distance to Waterway (m),Nearest Water Type,Height Above Nearest Drainage (m),Drainage Direction,Slope (degrees),Upstream Drainage Area (km^2),Elevation (m),Landform Type,Area (m^2),Population within 1 km,Population within 5 km,Population within 10 km,Soil Clay Fraction,Soil Sand Fraction,Fine Earth Density (kg / m^3),Soil Great Group,ID,Place Name
Unconfirmed,40.765,40.765,n/a,189,water,1,northeast,0.6,0.007,12,Valley,n/a,456,11565,76512,0.29,0.29,159,0,8f1ed6b6ac62954,"Roskovec, Bashkia Roskovec, Fier County, Southern Albania, 9306, Albania"
Unconfirmed,39.844,39.844,n/a,340,river,2,northwest,6.0,0.013,4,Lower slope (warm),n/a,2511,18936,30676,0.3,0.3,140,3,8f1ed049e33318e,"Çukë, Sarandë, Bashkia Sarandë, Vlorë County, Southern Albania, 9701, Albania"
Unconfirmed,41.094,41.094,n/a,24,river,4,southeast,0.6,0.006,99,Lower slope (flat),n/a,4442,80813,101363,0.24,0.32,148,1,8f1ed4765720d8c,"Kusarth, Elbasan, Elbasan municipality, Elbasan County, Central Albania, 3001-3006, Albania"
Unconfirmed,41.334,41.334,n/a,132,river,5,southwest,2.5,0.006,148,Valley,n/a,29615,394150,705042,0.22,0.36,149,0,8f1ed40233850cc,"Rruga Gjergj Qiriazi, Poligrafiku, Njësia Bashkiake Nr. 1, Shkozë, Tiranë, Tirana Municipality, Tirana County, Central Albania, 1001-1028, Albania"
Unconfirmed,40.488,40.488,n/a,232,coastline,1,west,0.9,0.039,0,Valley,n/a,232,42681,77467,0.22,0.44,125,1,8f1ed6aaad0eb5a,"Qendër Vlorë, Bashkia Vlorë, Vlorë County, Southern Albania, 9414, Albania"
Unconfirmed,40.747,40.747,n/a,122,canal,0,northwest,1.0,0.787,10,Lower slope (flat),n/a,675,11276,94652,0.26,0.29,159,1,8f1ed6b418c395a,"Mbrostar Ura, Bashkia Fier, Fier County, Southern Albania, 9317, Albania"
Unconfirmed,41.124,41.124,n/a,484,yes,3,southeast,1.5,0.091,134,Lower slope (warm),n/a,7002,74955,96227,0.25,0.4,153,3,8f1ed4390894723,"Mengël, Elbasan, Elbasan municipality, Elbasan County, Central Albania, 3001, Albania"
Unconfirmed,41.351,41.351,n/a,8,river,0,west,1.5,115.805,97,Valley,n/a,23662,544443,759070,0.26,0.35,151,2,8f1ed40262f5550,"Rruga Mustafa Caslli, Njësia Bashkiake Nr. 8, Tiranë, Tirana Municipality, Tirana County, Central Albania, 1001-1028, Albania"
Unconfirmed,41.369,41.369,n/a,768,stream,2,northeast,0.5,0.013,18,Lower slope (flat),n/a,936,29970,118308,0.24,0.32,156,0,8f1ed4c592d3a31,"Autostrada ""Tiranë - Durrës"", Zona indistruale Marikaj, Marikaj, Vorë, Bashkia Vorë, Tirana County, Central Albania, 1032, Albania"
Unconfirmed,41.529,41.529,n/a,1452,ditch,4,northwest,0.4,0.013,9,Lower slope (flat),n/a,492,15211,52450,0.26,0.33,151,1,8f1ed488a584341,"SH1, Thumanë, Kruje, Durrës County, Northern Albania, 1503, Albania"
